n,cenario,algoritmo,media,min,max,desvio,memoria
10000,reverso,Selection,30385590,29441721,32684527,1123185.474774063,0
10000,reverso,Merge,673911,351235,2220559,508934.3784802344,0
10000,reverso,Quick,359269,348249,385078,9658.54657156034,0
10000,reverso,JavaSort,15714,14036,16821,764.5873478550375,0
10000,quase,Bubble,23882463,22548862,26533304,1305362.710077021,0
10000,quase,Insertion,1425807,1403185,1471403,21970.16235431591,0
10000,quase,Selection,24020766,23518760,25560166,698962.1124518303,0
10000,quase,Merge,735299,537342,1033096,151579.2740666167,0
10000,quase,Quick,453264,441482,479663,9396.291319584552,0
10000,quase,JavaSort,258047,246029,275995,8421.834665024006,0
