tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,2909
100,ordenado,Binaria,1461
500,ordenado,Linear,5327
500,ordenado,Binaria,963
1000,ordenado,Linear,9165
1000,ordenado,Binaria,657
2000,ordenado,Linear,18405
2000,ordenado,Binaria,565
5000,ordenado,Linear,44587
5000,ordenado,Binaria,640
100,aleatorio,Bubble,227522
100,aleatorio,Selection,114971
100,aleatorio,Insertion,83668
100,aleatorio,Merge,73464
100,aleatorio,Quick,39255
500,aleatorio,Bubble,3235162
500,aleatorio,Selection,2860148
500,aleatorio,Insertion,1590010
500,aleatorio,Merge,486091
500,aleatorio,Quick,207893
1000,aleatorio,Bubble,1355891
1000,aleatorio,Selection,2591329
1000,aleatorio,Insertion,1302389
1000,aleatorio,Merge,236923
1000,aleatorio,Quick,146429
2000,aleatorio,Bubble,8703178
2000,aleatorio,Selection,6261027
2000,aleatorio,Insertion,1688669
2000,aleatorio,Merge,415107
2000,aleatorio,Quick,232354
5000,aleatorio,Bubble,22269436
5000,aleatorio,Selection,9530497
5000,aleatorio,Insertion,10001414
5000,aleatorio,Merge,887478
5000,aleatorio,Quick,476981
100,aleatorio,ArrayList,1162521
100,aleatorio,LinkedList,749895
100,aleatorio,HashSet,322581
100,aleatorio,TreeSet,674088
500,aleatorio,ArrayList,3535057
500,aleatorio,LinkedList,4243096
500,aleatorio,HashSet,1626536
500,aleatorio,TreeSet,2396299
1000,aleatorio,ArrayList,10645504
1000,aleatorio,LinkedList,11663706
1000,aleatorio,HashSet,575222
1000,aleatorio,TreeSet,3446040
2000,aleatorio,ArrayList,9695586
2000,aleatorio,LinkedList,4828283
2000,aleatorio,HashSet,928783
2000,aleatorio,TreeSet,1523891
5000,aleatorio,ArrayList,13632248
5000,aleatorio,LinkedList,29326781
5000,aleatorio,HashSet,3069666
5000,aleatorio,TreeSet,7196977
100,grafo,BFS,3573102
100,grafo,DFS,1179530
100,grafo,Dijkstra,11396310
500,grafo,BFS,5512884
500,grafo,DFS,2536881
500,grafo,Dijkstra,6132815
1000,grafo,BFS,5474520
1000,grafo,DFS,6384733
1000,grafo,Dijkstra,6999217
2000,grafo,BFS,7275950
2000,grafo,DFS,5678514
2000,grafo,Dijkstra,15739245
5000,grafo,BFS,11783071
5000,grafo,DFS,11756601
5000,grafo,Dijkstra,18374498
100,lista03,Linear,4348
100,lista03,Binaria,2035
500,lista03,Linear,4578
500,lista03,Binaria,740
1000,lista03,Linear,9960
1000,lista03,Binaria,623
2000,lista03,Linear,32306
2000,lista03,Binaria,635
5000,lista03,Linear,47637
5000,lista03,Binaria,819
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
