tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,3317
100,ordenado,Binaria,1954
500,ordenado,Linear,7304
500,ordenado,Binaria,1062
1000,ordenado,Linear,13645
1000,ordenado,Binaria,931
2000,ordenado,Linear,27471
2000,ordenado,Binaria,941
5000,ordenado,Linear,67145
5000,ordenado,Binaria,1082
100,aleatorio,Bubble,324704
100,aleatorio,Selection,152905
100,aleatorio,Insertion,139769
100,aleatorio,Merge,96048
100,aleatorio,Quick,47789
500,aleatorio,Bubble,4431483
500,aleatorio,Selection,5046526
500,aleatorio,Insertion,2254243
500,aleatorio,Merge,563919
500,aleatorio,Quick,257539
1000,aleatorio,Bubble,1064149
1000,aleatorio,Selection,1209068
1000,aleatorio,Insertion,1116226
1000,aleatorio,Merge,214850
1000,aleatorio,Quick,133247
2000,aleatorio,Bubble,2400815
2000,aleatorio,Selection,1450278
2000,aleatorio,Insertion,835063
2000,aleatorio,Merge,264402
2000,aleatorio,Quick,181999
5000,aleatorio,Bubble,9563257
5000,aleatorio,Selection,6064860
5000,aleatorio,Insertion,4782746
5000,aleatorio,Merge,570251
5000,aleatorio,Quick,342948
100,aleatorio,ArrayList,592292
100,aleatorio,LinkedList,462400
100,aleatorio,HashSet,130714
100,aleatorio,TreeSet,482568
500,aleatorio,ArrayList,2064090
500,aleatorio,LinkedList,1938366
500,aleatorio,HashSet,742431
500,aleatorio,TreeSet,1733765
1000,aleatorio,ArrayList,5462420
1000,aleatorio,LinkedList,5623870
1000,aleatorio,HashSet,508055
1000,aleatorio,TreeSet,1969543
2000,aleatorio,ArrayList,6126695
2000,aleatorio,LinkedList,3855611
2000,aleatorio,HashSet,721762
2000,aleatorio,TreeSet,2141623
5000,aleatorio,ArrayList,12074439
5000,aleatorio,LinkedList,24754383
5000,aleatorio,HashSet,1590719
5000,aleatorio,TreeSet,1946771
100,grafo,BFS,664446
100,grafo,DFS,1408530
100,grafo,Dijkstra,6277906
500,grafo,BFS,2526709
500,grafo,DFS,2901637
500,grafo,Dijkstra,2942894
1000,grafo,BFS,3106468
1000,grafo,DFS,2409021
1000,grafo,Dijkstra,3080089
2000,grafo,BFS,3600807
2000,grafo,DFS,3686436
2000,grafo,Dijkstra,5524425
5000,grafo,BFS,9326106
5000,grafo,DFS,7688480
5000,grafo,Dijkstra,13536627
100,lista03,Linear,3787
100,lista03,Binaria,2314
500,lista03,Linear,7223
500,lista03,Binaria,1062
1000,lista03,Linear,13445
1000,lista03,Binaria,982
2000,lista03,Linear,27722
2000,lista03,Binaria,872
5000,lista03,Linear,67907
5000,lista03,Binaria,1122
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
