tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,3046
100,ordenado,Binaria,2134
500,ordenado,Linear,6452
500,ordenado,Binaria,1142
1000,ordenado,Linear,12383
1000,ordenado,Binaria,1142
2000,ordenado,Linear,25307
2000,ordenado,Binaria,952
5000,ordenado,Linear,62888
5000,ordenado,Binaria,1102
100,aleatorio,Bubble,299238
100,aleatorio,Selection,154078
100,aleatorio,Insertion,111728
100,aleatorio,Merge,97512
100,aleatorio,Quick,47017
500,aleatorio,Bubble,3624849
500,aleatorio,Selection,5043023
500,aleatorio,Insertion,1938064
500,aleatorio,Merge,549855
500,aleatorio,Quick,794880
1000,aleatorio,Bubble,3058002
1000,aleatorio,Selection,953879
1000,aleatorio,Insertion,1470702
1000,aleatorio,Merge,231793
1000,aleatorio,Quick,170177
2000,aleatorio,Bubble,4006401
2000,aleatorio,Selection,1686745
2000,aleatorio,Insertion,1954595
2000,aleatorio,Merge,401909
2000,aleatorio,Quick,262570
5000,aleatorio,Bubble,27053371
5000,aleatorio,Selection,9165479
5000,aleatorio,Insertion,10010214
5000,aleatorio,Merge,914545
5000,aleatorio,Quick,431033
100,aleatorio,ArrayList,831480
100,aleatorio,LinkedList,3868823
100,aleatorio,HashSet,190366
100,aleatorio,TreeSet,2439638
500,aleatorio,ArrayList,11738507
500,aleatorio,LinkedList,6950520
500,aleatorio,HashSet,683164
500,aleatorio,TreeSet,2223726
1000,aleatorio,ArrayList,14380823
1000,aleatorio,LinkedList,13267137
1000,aleatorio,HashSet,698713
1000,aleatorio,TreeSet,2395176
2000,aleatorio,ArrayList,11624994
2000,aleatorio,LinkedList,4288055
2000,aleatorio,HashSet,1024911
2000,aleatorio,TreeSet,3011925
5000,aleatorio,ArrayList,19013721
5000,aleatorio,LinkedList,25485538
5000,aleatorio,HashSet,2446130
5000,aleatorio,TreeSet,7009389
100,grafo,BFS,4679865
100,grafo,DFS,1377708
100,grafo,Dijkstra,15450528
500,grafo,BFS,5782512
500,grafo,DFS,6451910
500,grafo,Dijkstra,11338031
1000,grafo,BFS,5581716
1000,grafo,DFS,6149435
1000,grafo,Dijkstra,4036105
2000,grafo,BFS,4931164
2000,grafo,DFS,4651492
2000,grafo,Dijkstra,7772281
5000,grafo,BFS,8975324
5000,grafo,DFS,4773981
5000,grafo,Dijkstra,12566441
100,lista03,Linear,4098
100,lista03,Binaria,2235
500,lista03,Linear,6351
500,lista03,Binaria,1102
1000,lista03,Linear,11932
1000,lista03,Binaria,962
2000,lista03,Linear,24426
2000,lista03,Binaria,992
5000,lista03,Linear,62777
5000,lista03,Binaria,1612
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
