tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,2963
100,ordenado,Binaria,1695
500,ordenado,Linear,4538
500,ordenado,Binaria,750
1000,ordenado,Linear,8805
1000,ordenado,Binaria,586
2000,ordenado,Linear,17213
2000,ordenado,Binaria,626
5000,ordenado,Linear,43915
5000,ordenado,Binaria,692
100,aleatorio,Bubble,199125
100,aleatorio,Selection,109755
100,aleatorio,Insertion,81675
100,aleatorio,Merge,70513
100,aleatorio,Quick,34826
500,aleatorio,Bubble,2906495
500,aleatorio,Selection,2386976
500,aleatorio,Insertion,1278851
500,aleatorio,Merge,470710
500,aleatorio,Quick,195282
1000,aleatorio,Bubble,1126288
1000,aleatorio,Selection,2484098
1000,aleatorio,Insertion,1084992
1000,aleatorio,Merge,242658
1000,aleatorio,Quick,153515
2000,aleatorio,Bubble,10533481
2000,aleatorio,Selection,1943323
2000,aleatorio,Insertion,958735
2000,aleatorio,Merge,273660
2000,aleatorio,Quick,158658
5000,aleatorio,Bubble,21514264
5000,aleatorio,Selection,5393648
5000,aleatorio,Insertion,7777732
5000,aleatorio,Merge,802259
5000,aleatorio,Quick,366319
100,aleatorio,ArrayList,672663
100,aleatorio,LinkedList,401914
100,aleatorio,HashSet,176594
100,aleatorio,TreeSet,400075
500,aleatorio,ArrayList,2986066
500,aleatorio,LinkedList,2911330
500,aleatorio,HashSet,630527
500,aleatorio,TreeSet,1345190
1000,aleatorio,ArrayList,10320458
1000,aleatorio,LinkedList,4638356
1000,aleatorio,HashSet,631318
1000,aleatorio,TreeSet,1727686
2000,aleatorio,ArrayList,1562438
2000,aleatorio,LinkedList,4407547
2000,aleatorio,HashSet,596651
2000,aleatorio,TreeSet,1488694
5000,aleatorio,ArrayList,13570861
5000,aleatorio,LinkedList,27208723
5000,aleatorio,HashSet,1758277
5000,aleatorio,TreeSet,2683874
100,grafo,BFS,594438
100,grafo,DFS,1269440
100,grafo,Dijkstra,6059258
500,grafo,BFS,2434808
500,grafo,DFS,3108348
500,grafo,Dijkstra,3050510
1000,grafo,BFS,2446481
1000,grafo,DFS,3158206
1000,grafo,Dijkstra,4211990
2000,grafo,BFS,4029017
2000,grafo,DFS,3949805
2000,grafo,Dijkstra,7595527
5000,grafo,BFS,8919259
5000,grafo,DFS,8665768
5000,grafo,Dijkstra,14168853
100,lista03,Linear,3564
100,lista03,Binaria,2039
500,lista03,Linear,4037
500,lista03,Binaria,766
1000,lista03,Linear,8645
1000,lista03,Binaria,846
2000,lista03,Linear,17675
2000,lista03,Binaria,1014
5000,lista03,Linear,44373
5000,lista03,Binaria,1034
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
