tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,298537
100,ordenacao,InsertionSort,129020
100,ordenacao,SelectionSort,154608
100,ordenacao,MergeSort,81151
100,ordenacao,QuickSort,47319
1000,ordenacao,BubbleSort,8843261
1000,ordenacao,InsertionSort,3386962
1000,ordenacao,SelectionSort,4360376
1000,ordenacao,MergeSort,1434664
1000,ordenacao,QuickSort,467832
5000,ordenacao,BubbleSort,32617055
5000,ordenacao,InsertionSort,9997471
5000,ordenacao,SelectionSort,8219377
5000,ordenacao,MergeSort,11574779
5000,ordenacao,QuickSort,447714
