tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,288901
100,ordenacao,InsertionSort,103884
100,ordenacao,SelectionSort,168745
100,ordenacao,MergeSort,76443
100,ordenacao,QuickSort,38953
1000,ordenacao,BubbleSort,9522604
1000,ordenacao,InsertionSort,3717640
1000,ordenacao,SelectionSort,7050782
1000,ordenacao,MergeSort,1642961
1000,ordenacao,QuickSort,465179
5000,ordenacao,BubbleSort,25710228
5000,ordenacao,InsertionSort,11360559
5000,ordenacao,SelectionSort,18405972
5000,ordenacao,MergeSort,13100399
5000,ordenacao,QuickSort,649114
