tamanho,cenario,algoritmo,tempo
100,busca,BuscaLinear,4569
100,busca,BuscaBinaria,2374
1000,busca,BuscaLinear,11993
1000,busca,BuscaBinaria,1553
5000,busca,BuscaLinear,55624
5000,busca,BuscaBinaria,2024
