tamanho,cenario,algoritmo,tempo
100,lista03,Q1_Melhor,5877
100,lista03,Q1_Pior,187495
100,lista03,Q3_Quadratico,52923
100,lista03,Q4_Intersecao,7123
500,lista03,Q1_Melhor,98616
500,lista03,Q1_Pior,325246
500,lista03,Q3_Quadratico,368450
500,lista03,Q4_Intersecao,37202
1000,lista03,Q1_Melhor,272974
1000,lista03,Q1_Pior,692971
1000,lista03,Q3_Quadratico,400179
1000,lista03,Q4_Intersecao,74508
2000,lista03,Q1_Melhor,1032593
2000,lista03,Q1_Pior,1922714
2000,lista03,Q3_Quadratico,788710
2000,lista03,Q4_Intersecao,10677
