tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,3747
100,ordenado,Binaria,2234
500,ordenado,Linear,7234
500,ordenado,Binaria,1102
1000,ordenado,Linear,13766
1000,ordenado,Binaria,982
2000,ordenado,Linear,27521
2000,ordenado,Binaria,961
5000,ordenado,Linear,68156
5000,ordenado,Binaria,1062
100,aleatorio,Bubble,353418
100,aleatorio,Selection,163194
100,aleatorio,Insertion,119683
100,aleatorio,Merge,108141
100,aleatorio,Quick,51206
500,aleatorio,Bubble,4536486
500,aleatorio,Selection,4150251
500,aleatorio,Insertion,2326236
500,aleatorio,Merge,872126
500,aleatorio,Quick,741892
1000,aleatorio,Bubble,2142839
1000,aleatorio,Selection,3363980
1000,aleatorio,Insertion,1143160
1000,aleatorio,Merge,199863
1000,aleatorio,Quick,125794
2000,aleatorio,Bubble,2561915
2000,aleatorio,Selection,3377165
2000,aleatorio,Insertion,1756744
2000,aleatorio,Merge,427206
2000,aleatorio,Quick,229548
5000,aleatorio,Bubble,9515296
5000,aleatorio,Selection,8189595
5000,aleatorio,Insertion,4734535
5000,aleatorio,Merge,575513
5000,aleatorio,Quick,304057
100,aleatorio,ArrayList,618162
100,aleatorio,LinkedList,419102
100,aleatorio,HashSet,185856
100,aleatorio,TreeSet,446973
500,aleatorio,ArrayList,2123087
500,aleatorio,LinkedList,1675543
500,aleatorio,HashSet,753454
500,aleatorio,TreeSet,1802008
1000,aleatorio,ArrayList,3346958
1000,aleatorio,LinkedList,2743234
1000,aleatorio,HashSet,500984
1000,aleatorio,TreeSet,1892788
2000,aleatorio,ArrayList,12584787
2000,aleatorio,LinkedList,5255977
2000,aleatorio,HashSet,763954
2000,aleatorio,TreeSet,1109629
5000,aleatorio,ArrayList,6940567
5000,aleatorio,LinkedList,22340883
5000,aleatorio,HashSet,1480760
5000,aleatorio,TreeSet,1816235
100,grafo,BFS,2411365
100,grafo,DFS,1364795
100,grafo,Dijkstra,8144358
500,grafo,BFS,2834183
500,grafo,DFS,2881341
500,grafo,Dijkstra,3404677
1000,grafo,BFS,2915575
1000,grafo,DFS,2876502
1000,grafo,Dijkstra,3977314
2000,grafo,BFS,4135469
2000,grafo,DFS,3088928
2000,grafo,Dijkstra,7933237
5000,grafo,BFS,7784880
5000,grafo,DFS,4966979
5000,grafo,Dijkstra,13269184
100,lista03,Linear,4078
100,lista03,Binaria,2525
500,lista03,Linear,7574
500,lista03,Binaria,1092
1000,lista03,Linear,33302
1000,lista03,Binaria,1002
2000,lista03,Linear,29124
2000,lista03,Binaria,1062
5000,lista03,Linear,76142
5000,lista03,Binaria,1162
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
