tamanho,cenario,algoritmo,tempo
100,lista03,Q1_Melhor,5930
100,lista03,Q1_Pior,139067
100,lista03,Q3_Quadratico,24933
100,lista03,Q4_Intersecao,7491
500,lista03,Q1_Melhor,76640
500,lista03,Q1_Pior,167174
500,lista03,Q3_Quadratico,234689
500,lista03,Q4_Intersecao,27508
1000,lista03,Q1_Melhor,230791
1000,lista03,Q1_Pior,485283
1000,lista03,Q3_Quadratico,222671
1000,lista03,Q4_Intersecao,53217
2000,lista03,Q1_Melhor,948260
2000,lista03,Q1_Pior,1798551
2000,lista03,Q3_Quadratico,787189
2000,lista03,Q4_Intersecao,18755
