tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,3166
100,ordenado,Binaria,1864
500,ordenado,Linear,7144
500,ordenado,Binaria,1292
1000,ordenado,Linear,14027
1000,ordenado,Binaria,1052
2000,ordenado,Linear,27742
2000,ordenado,Binaria,1183
5000,ordenado,Linear,70863
5000,ordenado,Binaria,1402
100,aleatorio,Bubble,311966
100,aleatorio,Selection,161643
100,aleatorio,Insertion,109726
100,aleatorio,Merge,124533
100,aleatorio,Quick,48962
500,aleatorio,Bubble,3944769
500,aleatorio,Selection,3312742
500,aleatorio,Insertion,2269222
500,aleatorio,Merge,573748
500,aleatorio,Quick,296717
1000,aleatorio,Bubble,1359053
1000,aleatorio,Selection,2720860
1000,aleatorio,Insertion,1273633
1000,aleatorio,Merge,198432
1000,aleatorio,Quick,138941
2000,aleatorio,Bubble,2528959
2000,aleatorio,Selection,10953091
2000,aleatorio,Insertion,1693471
2000,aleatorio,Merge,410511
2000,aleatorio,Quick,242054
5000,aleatorio,Bubble,14540659
5000,aleatorio,Selection,12314818
5000,aleatorio,Insertion,9888862
5000,aleatorio,Merge,786608
5000,aleatorio,Quick,397497
100,aleatorio,ArrayList,870685
100,aleatorio,LinkedList,760078
100,aleatorio,HashSet,248186
100,aleatorio,TreeSet,554312
500,aleatorio,ArrayList,3499884
500,aleatorio,LinkedList,2531214
500,aleatorio,HashSet,791337
500,aleatorio,TreeSet,1816051
1000,aleatorio,ArrayList,7342911
1000,aleatorio,LinkedList,7043979
1000,aleatorio,HashSet,920679
1000,aleatorio,TreeSet,2535391
2000,aleatorio,ArrayList,24979323
2000,aleatorio,LinkedList,6271909
2000,aleatorio,HashSet,747494
2000,aleatorio,TreeSet,1720802
5000,aleatorio,ArrayList,12115314
5000,aleatorio,LinkedList,23288789
5000,aleatorio,HashSet,2205322
5000,aleatorio,TreeSet,2629569
100,grafo,BFS,662885
100,grafo,DFS,1425678
100,grafo,Dijkstra,6501230
500,grafo,BFS,3088761
500,grafo,DFS,3363868
500,grafo,Dijkstra,3501366
1000,grafo,BFS,3721709
1000,grafo,DFS,3093920
1000,grafo,Dijkstra,3513318
2000,grafo,BFS,4351232
2000,grafo,DFS,4231517
2000,grafo,Dijkstra,5367260
5000,grafo,BFS,9196963
5000,grafo,DFS,5918676
5000,grafo,Dijkstra,13101706
100,lista03,Linear,3998
100,lista03,Binaria,4659
500,lista03,Linear,7334
500,lista03,Binaria,1122
1000,lista03,Linear,15059
1000,lista03,Binaria,1042
2000,lista03,Linear,30077
2000,lista03,Binaria,1312
5000,lista03,Linear,98415
5000,lista03,Binaria,1433
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
