tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,262331
100,ordenacao,InsertionSort,85258
100,ordenacao,SelectionSort,128611
100,ordenacao,MergeSort,61421
100,ordenacao,QuickSort,61712
1000,ordenacao,BubbleSort,6037308
1000,ordenacao,InsertionSort,2691831
1000,ordenacao,SelectionSort,4488870
1000,ordenacao,MergeSort,1042594
1000,ordenacao,QuickSort,397242
5000,ordenacao,BubbleSort,19912525
5000,ordenacao,InsertionSort,9992872
5000,ordenacao,SelectionSort,9864331
5000,ordenacao,MergeSort,8695334
5000,ordenacao,QuickSort,498553
