tamanho,cenario,algoritmo,tempo
100,lista03,Q1_Melhor,3005
100,lista03,Q1_Pior,106799
100,lista03,Q3_Quadratico,21010
100,lista03,Q4_Intersecao,4334
500,lista03,Q1_Melhor,64281
500,lista03,Q1_Pior,182539
500,lista03,Q3_Quadratico,83398
500,lista03,Q4_Intersecao,21179
1000,lista03,Q1_Melhor,155517
1000,lista03,Q1_Pior,354417
1000,lista03,Q3_Quadratico,190946
1000,lista03,Q4_Intersecao,41323
2000,lista03,Q1_Melhor,626873
2000,lista03,Q1_Pior,1359442
2000,lista03,Q3_Quadratico,680047
2000,lista03,Q4_Intersecao,20156
