tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,306752
100,ordenacao,InsertionSort,106871
100,ordenacao,SelectionSort,876530
100,ordenacao,MergeSort,77177
100,ordenacao,QuickSort,39320
1000,ordenacao,BubbleSort,5965475
1000,ordenacao,InsertionSort,3012988
1000,ordenacao,SelectionSort,7234517
1000,ordenacao,MergeSort,1564176
1000,ordenacao,QuickSort,524410
5000,ordenacao,BubbleSort,25345113
5000,ordenacao,InsertionSort,15191881
5000,ordenacao,SelectionSort,24709536
5000,ordenacao,MergeSort,12263711
5000,ordenacao,QuickSort,697942
