tamanho,cenario,algoritmo,tempo
100,lista03,Q1_Melhor,5808
100,lista03,Q1_Pior,172331
100,lista03,Q3_Quadratico,56050
100,lista03,Q4_Intersecao,7596
500,lista03,Q1_Melhor,87467
500,lista03,Q1_Pior,248601
500,lista03,Q3_Quadratico,210812
500,lista03,Q4_Intersecao,26838
1000,lista03,Q1_Melhor,238608
1000,lista03,Q1_Pior,492225
1000,lista03,Q3_Quadratico,224786
1000,lista03,Q4_Intersecao,58784
2000,lista03,Q1_Melhor,996696
2000,lista03,Q1_Pior,1882830
2000,lista03,Q3_Quadratico,792110
2000,lista03,Q4_Intersecao,23241
