tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,230584
100,ordenacao,InsertionSort,113924
100,ordenacao,SelectionSort,117551
100,ordenacao,MergeSort,59883
100,ordenacao,QuickSort,31659
1000,ordenacao,BubbleSort,5321875
1000,ordenacao,InsertionSort,2857608
1000,ordenacao,SelectionSort,4684896
1000,ordenacao,MergeSort,1191432
1000,ordenacao,QuickSort,388671
5000,ordenacao,BubbleSort,19650610
5000,ordenacao,InsertionSort,9399568
5000,ordenacao,SelectionSort,9226944
5000,ordenacao,MergeSort,14679615
5000,ordenacao,QuickSort,635847
