tamanho,cenario,algoritmo,tempo
100,lista03,Q1_Melhor,5663
100,lista03,Q1_Pior,191414
100,lista03,Q3_Quadratico,47788
100,lista03,Q4_Intersecao,7018
500,lista03,Q1_Melhor,91781
500,lista03,Q1_Pior,317697
500,lista03,Q3_Quadratico,156717
500,lista03,Q4_Intersecao,33618
1000,lista03,Q1_Melhor,234926
1000,lista03,Q1_Pior,667333
1000,lista03,Q3_Quadratico,350213
1000,lista03,Q4_Intersecao,64159
2000,lista03,Q1_Melhor,895824
2000,lista03,Q1_Pior,2544077
2000,lista03,Q3_Quadratico,1282162
2000,lista03,Q4_Intersecao,21574
