tamanho,cenario,algoritmo,tempo
100,busca,BuscaLinear,3858
100,busca,BuscaBinaria,1713
1000,busca,BuscaLinear,14086
1000,busca,BuscaBinaria,1433
5000,busca,BuscaLinear,96871
5000,busca,BuscaBinaria,2194
