tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,293180
100,ordenacao,InsertionSort,130444
100,ordenacao,SelectionSort,156303
100,ordenacao,MergeSort,77335
100,ordenacao,QuickSort,43732
1000,ordenacao,BubbleSort,7539828
1000,ordenacao,InsertionSort,3242758
1000,ordenacao,SelectionSort,4404178
1000,ordenacao,MergeSort,1059820
1000,ordenacao,QuickSort,409028
5000,ordenacao,BubbleSort,26411982
5000,ordenacao,InsertionSort,15105316
5000,ordenacao,SelectionSort,19380582
5000,ordenacao,MergeSort,13115949
5000,ordenacao,QuickSort,727556
