n,cenario,algoritmo,tempo(ns),memoria(bytes)
1000,aleatorio,Bubble,4398119,0
1000,aleatorio,Insertion,506972,0
1000,aleatorio,Selection,715570,0
1000,aleatorio,Merge,335459,0
1000,aleatorio,Quick,130314,0
1000,aleatorio,JavaSort,101481,0
1000,ordenado,Bubble,1615,0
1000,ordenado,Insertion,2393,0
1000,ordenado,Selection,472225,0
1000,ordenado,Merge,52782,0
1000,ordenado,Quick,38476,0
1000,ordenado,JavaSort,30397,0
1000,reverso,Bubble,770386,0
1000,reverso,Insertion,227314,0
1000,reverso,Selection,803134,0
1000,reverso,Merge,79567,0
1000,reverso,Quick,40830,0
1000,reverso,JavaSort,64624,0
1000,quase,Bubble,514171,0
1000,quase,Insertion,21107,0
1000,quase,Selection,350379,0
1000,quase,Merge,44020,0
1000,quase,Quick,47574,0
1000,quase,JavaSort,16899,0
2000,aleatorio,Bubble,1925831,0
2000,aleatorio,Insertion,339946,0
2000,aleatorio,Selection,1080386,0
2000,aleatorio,Merge,771251,0
2000,aleatorio,Quick,134131,0
2000,aleatorio,JavaSort,95536,0
2000,ordenado,Bubble,2264,0
2000,ordenado,Insertion,4192,0
2000,ordenado,Selection,1345012,0
2000,ordenado,Merge,106236,0
2000,ordenado,Quick,59981,0
2000,ordenado,JavaSort,67185,0
2000,reverso,Bubble,1378957,0
2000,reverso,Insertion,577781,0
2000,reverso,Selection,1162501,0
2000,reverso,Merge,72396,0
2000,reverso,Quick,72015,0
2000,reverso,JavaSort,40912,0
2000,quase,Bubble,2050572,0
2000,quase,Insertion,76053,0
2000,quase,Selection,960028,0
2000,quase,Merge,147424,0
2000,quase,Quick,115690,0
2000,quase,JavaSort,60673,0
5000,aleatorio,Bubble,13024960,0
5000,aleatorio,Insertion,2156556,0
5000,aleatorio,Selection,7704634,0
5000,aleatorio,Merge,568959,0
5000,aleatorio,Quick,300662,0
5000,aleatorio,JavaSort,293116,0
5000,ordenado,Bubble,5174,0
5000,ordenado,Insertion,6482,0
5000,ordenado,Selection,6136524,0
5000,ordenado,Merge,179680,0
5000,ordenado,Quick,158893,0
5000,ordenado,JavaSort,4682,0
5000,reverso,Bubble,8447958,0
5000,reverso,Insertion,4595983,0
5000,reverso,Selection,8283582,0
5000,reverso,Merge,952979,0
5000,reverso,Quick,231845,0
5000,reverso,JavaSort,8889,0
5000,quase,Bubble,8378650,0
5000,quase,Insertion,469640,0
5000,quase,Selection,6404997,0
5000,quase,Merge,1010619,0
5000,quase,Quick,255842,0
5000,quase,JavaSort,61646,0
10000,aleatorio,Bubble,44418065,0
10000,aleatorio,Insertion,6673473,0
10000,aleatorio,Selection,26275220,0
10000,aleatorio,Merge,1114048,0
10000,aleatorio,Quick,745637,0
10000,aleatorio,JavaSort,105898,0
10000,ordenado,Bubble,11187,0
10000,ordenado,Insertion,19114,0
10000,ordenado,Selection,28720868,0
10000,ordenado,Merge,490941,0
10000,ordenado,Quick,319028,0
10000,ordenado,JavaSort,7593,0
10000,reverso,Bubble,36094004,0
10000,reverso,Insertion,14025461,0
10000,reverso,Selection,32274623,0
10000,reverso,Merge,390436,0
10000,reverso,Quick,362611,0
10000,reverso,JavaSort,16191,0
10000,quase,Bubble,34359101,0
10000,quase,Insertion,2085979,0
10000,quase,Selection,25754238,0
10000,quase,Merge,806482,0
10000,quase,Quick,452959,0
10000,quase,JavaSort,74030,0
